Threshold,Accuracy,Precision,Recall,F1-score,False Positives
0.3,0.8558180613822036,0.8581809657759025,0.9870585063359396,0.9181191222570533,605
0.4,0.874806800618238,0.8803874092009685,0.9803181450525749,0.9276693455797933,494
0.5,0.8867299624641202,0.9011044176706827,0.9679158802911836,0.9333160015598596,394
0.6,0.8935747405608302,0.9229357798165138,0.9493124831490968,0.9359383306751727,294
0.7,0.8847427688231397,0.9439955419336863,0.9134537611215962,0.9284735543984654,201
